,repository_name,language
0,abracad,Clojure
1,ai_barcode,
2,alohomora-fork,
3,amazon-ebs-autoscale,Shell
4,Amplitude-Android,Java
5,Amplitude-Flutter,Dart
6,Amplitude-Flutter-New,
7,Amplitude-iOS,Objective-C
8,Amplitude-JavaScript,JavaScript
9,androidx,
10,android_package_manager,Kotlin
11,angular-google-maps,JavaScript
12,apollo-federation-subgraph-compatibility,
13,apollo-ios,Swift
14,automerge-action,JavaScript
15,avro,Java
16,bcrypt,C
17,bigquery-data-lineage,Java
18,bin,Shell
19,bluepill,Objective-C
20,BonMot,Swift
21,bors-ng,Elixir
22,box2d.dart,Dart
23,bugsnag-react-native,Java
24,burrow,Go
25,bytebank-flutter,Dart
26,cats,Clojure
27,clj-bigpanda,Clojure
28,clj-depend,
29,clj-github,Clojure
30,clj-github-app,Clojure
31,clj-github-mock,Clojure
32,clj-kubernetes-api,Clojure
33,clj-owasp,
34,cljnvim,Nix
35,clojupyter,Clojure
36,clojure-boost,
37,clojure-koans,Clojure
38,clojure-style-guide,
39,common-spreadsheet,
40,conda-recipes,Shell
41,create-react-app,JavaScript
42,CSStickyHeaderFlowLayout,
43,Cuckoo,Swift
44,cyavro,Python
45,data-infra-opsgenie-incident-management-module,HCL
46,data.xml,Clojure
47,delayed_job_active_record,Ruby
48,desafio-cocoaheads,
49,detox,JavaScript
50,diversidados-curso-ds,Jupyter Notebook
51,docopt.clj,Clojure
52,edn_format,Python
53,emidje,Emacs Lisp
54,facturama-clojure-sdk,Clojure
55,fastai,Jupyter Notebook
56,fast_barcode_scanner,
57,fat-aar,Groovy
58,finagle-clojure,Clojure
59,finagle-kafka,Scala
60,firebase-ios-sdk,
61,fklearn,Jupyter Notebook
62,flare-flutter,
63,flutter,Dart
64,flutterfire,Dart
65,flutter_engine,
66,flutter_file_picker,Java
67,foreman,Ruby
68,fork-prometheus-elasticache-sd,Go
69,Freddy,Swift
70,games,JavaScript
71,gatsby,JavaScript
72,ghas-jira-integration,
73,go-ibft,Go
74,graffiti-monkey,Python
75,hack-her-way,
76,hadoop,Java
77,heroku-log-s3,Ruby
78,hiring-without-whiteboards,
79,httpie.action,HCL
80,http_interceptor,
81,i18next,Dart
82,ibis,Python
83,ios-charts,Swift
84,ivy-s3-resolver,Java
85,k8s-api,Clojure
86,lacinia,Clojure
87,lein-jupyter,JavaScript
88,logica-js,
89,martian,Clojure
90,matcher-combinators,Clojure
91,memcached_exporter,
92,midje-nrepl,Clojure
93,mkdocs-git-revision-date-localized-plugin,Python
94,mmlspark,Scala
95,mobile-book-club,Ruby
96,mobile-pairing-exercises,Swift
97,mobile_scanner,
98,mockfn,Clojure
99,morse,JavaScript
100,new-grad-template,Clojure
101,nixpkgs,Nix
102,node-modules-boilerplate,JavaScript
103,nodely,Clojure
104,nuinvest-ios-charts,Swift
105,nuinvest-ios-snapshot-test-case,Objective-C
106,nuinvest-nimble,Swift
107,nuinvest-nimble-snapshots,Swift
108,nuinvest-quick,Swift
109,NuOpenLineage,
110,nuvigator,Dart
111,objectbox-dart-performance,
112,open-mail-app-flutter,
113,open-source,
114,opentelemetry-dart,Dart
115,ordnungsamt,Clojure
116,our-metaflow,
117,pathom,Clojure
118,pedestal-swagger,Clojure
119,pipeline,
120,plugins,Dart
121,polygon-edge,Go
122,prevayler-clj-aws,Clojure
123,prismatic-graphql,Clojure
124,pusher_client,
125,pusher_client_2,
126,pypicloud-docker,Shell
127,qr_code_scanner,
128,react-intl-universal,JavaScript
129,react-native-calendars,JavaScript
130,react-native-camera,
131,react-native-fullwidth-image,JavaScript
132,react-native-gesture-recognizers,JavaScript
133,react-native-linear-gradient,Java
134,react-native-manifest,Java
135,react-native-masked-text,JavaScript
136,react-native-popover-tooltip,JavaScript
137,react-native-shimmer-placeholder,JavaScript
138,react-native-svg-uri,JavaScript
139,react-reveal,JavaScript
140,ReSwift,Swift
141,robocode-clojure,Clojure
142,RxApollo,Swift
143,RxDataSources,Swift
144,s3-wagon-private,
145,sbt-databricks,Scala
146,sbt-docker-recomplile,
147,sbt-s3-resolver,Scala
148,selvage,Clojure
149,sentry-javascript,
150,setup-clojure,
151,Sourcery,Swift
152,spark-avro,Scala
153,spark-jobserver,Scala
154,spark-testing-base,Scala
155,spec-spi-code,Java
156,spec-tools,Clojure
157,st-click-detector,
158,state-flow,Clojure
159,stateful-check,
160,stem-spec-coerce,
161,stoken,
162,SwiftCheck,Swift
163,tekton-watcher,Clojure
164,tektoncd-experimental,
165,toml,Python
166,transifex-interface-ruby,Ruby
167,umschreiben-clj,Clojure
168,vessel,Clojure
169,wakelock,
170,workspaces,Clojure
