,repository_name,language
0,ai-and-efficiency,
1,assign-one-project-github-action,Shell
2,atari-demo,Python
3,atari-py,C++
4,atari-reset,Python
5,automated-interpretability,Python
6,aws-fluent-plugin-kinesis,Ruby
7,azure-cli,
8,baselines,Python
9,baselines-results,Jupyter Notebook
10,blocksparse,Cuda
11,box2d-py,C++
12,bugbounty-gpt,Python
13,ceph-chef,Ruby
14,chatgpt-retrieval-plugin,Python
15,chef-cookbook-hostname,
16,chef-logdna_agent,Ruby
17,CLIP,Jupyter Notebook
18,CLIP-featurevis,Python
19,code-align-evals-data,Python
20,coinrun,C++
21,compose-richtext,Kotlin
22,consistencydecoder,Python
23,consistency_models,Python
24,consistency_models_cifar10,Jupyter Notebook
25,consul-helm,
26,DALL-E,Python
27,dalle-2-preview,
28,dalle3-eval-samples,
29,dallify-discord-bot,TypeScript
30,deeptype,Python
31,democratic-inputs,HTML
32,distribution_augmentation,Python
33,doom-py,C++
34,ebm_code_release,Python
35,EPG,Python
36,etcd,Ruby
37,evals,Python
38,evolution-strategies-starter,Python
39,fetch_robots,Python
40,finetune-transformer-lm,Python
41,fluent-plugin-kubernetes_metadata_filter,Ruby
42,following-instructions-human-feedback,
43,gen,Shell
44,generating-reviews-discovering-sentiment,Python
45,glide-text2im,Python
46,glow,Python
47,go-alias,JavaScript
48,go-retryablehttp,Go
49,go-vncdriver,Go
50,go-vncdriver-feedstock,Shell
51,gpt-2,Python
52,gpt-2-output-dataset,Python
53,gpt-3,
54,GPT-3-Encoder,
55,gpt-discord-bot,Python
56,GPTs-are-GPTs,Jupyter Notebook
57,grade-school-math,Python
58,grok,Python
59,guided-diffusion,Python
60,gym,Python
61,gym-http-api,Python
62,gym-recording,Python
63,gym-soccer,Python
64,gym-wikinav,Python
65,gym3,Python
66,human-eval,Python
67,human-eval-infilling,Python
68,iaf,Python
69,image-gpt,Python
70,imitation,Python
71,improved-diffusion,Python
72,improved-gan,Python
73,InfoGAN,Python
74,interactive-textbook-demo,TypeScript
75,jukebox,Python
76,junit-annotate-buildkite-plugin,Ruby
77,kubernetes,Go
78,kubernetes-ec2-autoscaler,Python
79,large-scale-curiosity,Python
80,lean-gym,Lean
81,LHOPT,Python
82,lm-human-preferences,Python
83,lucid,Jupyter Notebook
84,lustre,
85,maddpg,Python
86,main-branch-check-action,JavaScript
87,miniF2F,Objective-C++
88,mitmproxy,JavaScript
89,ml-agents,Python
90,mlsh,Python
91,moderation-api-release,
92,monorepo-diff-buildkite-plugin,
93,mujoco-py,Cython
94,mujoco-worldgen,Python
95,multi-agent-emergence-environments,Python
96,multiagent-competition,Python
97,multiagent-particle-envs,Python
98,neural-gpu,Python
99,neural-mmo,Python
100,oauth2_proxy,Go
101,openai-assistants-quickstart,TypeScript
102,openai-cookbook,MDX
103,openai-deno-build,TypeScript
104,openai-dotnet,C#
105,openai-gemm,C
106,openai-node,TypeScript
107,openai-openapi,
108,openai-python,Python
109,openai-quickstart-node,JavaScript
110,openai-quickstart-python,
111,openai-security-bots,Python
112,orrb,C#
113,ot-gan,Jupyter Notebook
114,pachi-py,C
115,phasic-policy-gradient,Python
116,pixel-cnn,Python
117,plugins-quickstart,Python
118,point-e,Python
119,post--example,TeX
120,ppo-ewma,Jupyter Notebook
121,prm800k,Python
122,procgen,C++
123,prometheus,Go
124,psaw,Python
125,pyconfigatron,Python
126,pytorch,C++
127,random-network-distillation,Python
128,requests-for-research,HTML
129,retask,Python
130,retro,C
131,retro-baselines,Python
132,retro-contest,Python
133,retro-movies,Python
134,robogym,Python
135,roboschool,Python
136,robosumo,Python
137,robot_controllers,C++
138,rosbridge,Python
139,safety-gym,Python
140,safety-starter-agents,Python
141,scheduler-plugins,Go
142,shap-e,Python
143,signup-forms,CSS
144,simple-evals,Python
145,sonic-on-ray,Python
146,sparse_attention,Python
147,sparse_autoencoder,Python
148,spinningup,Python
149,spinningup-workshop,TeX
150,staged-recipes,Python
151,summarize-from-feedback,Python
152,supervised-reptile,JavaScript
153,tabulate,JavaScript
154,tiktoken,Python
155,train-procgen,Python
156,transformer-debugger,Python
157,understanding-rl-vision,Python
158,universe,Python
159,universe-starter-agent,Python
160,vdvae,Python
161,Video-Pre-Training,Python
162,vime,Python
163,weak-to-strong,Python
164,web-crawl-q-and-a-example,Jupyter Notebook
165,websockify,Python
166,weightnorm,Python
167,whisper,Python
168,zbarlight,Python
